InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
6.367150,57.2757,0.002372,-0.137773,4.570440,47.1854,0.002493,-0.09568600000000001,1,5.06156
1.491940,53.3037,-0.002366,0.219234,5.108270,39.5897,-0.004868,0.180373,1,5.1889
5.444070,87.4145,0.001419,-0.147765,4.378130,37.9577,-0.00047599999999999997,-0.031817000000000005,1,5.40416
6.180570,42.9879,-0.003568,0.037591,5.176060,43.318,-0.00143,0.00043799999999999997,1,5.51626
4.984660,47.0926,-0.005582999999999999,0.16385999999999998,3.256880,68.1708,0.002966,-0.156445,1,5.57046
0.947507,44.1055,0.00095,-0.042526,6.773270,66.5819,0.001064,-0.112903,1,5.5948400000000005
3.892230,50.9059,-0.002491,0.155641,1.281710,56.9468,-0.005044,0.330358,1,5.31395
2.369240,40.7887,-0.0032649999999999997,0.127195,5.667370,37.4439,0.000686,-0.071677,1,5.28001
1.865780,43.8749,0.005345,-0.157953,7.046390,73.7547,0.0016539999999999999,-0.203497,1,5.25185
4.326880,42.2737,-0.004752,0.139626,2.819540,61.6883,0.003677,-0.20158900000000002,1,5.46076
4.201000,83.5625,0.000317,-0.026688,5.170880,44.3712,-0.000462,0.00041,1,5.01506
6.180570,41.7723,-0.003568,0.039205000000000004,2.955130,37.9577,-0.00713,0.266897,1,5.57932
3.127850,49.444,-0.005312,0.295009,7.058920,84.3901,0.003078,-0.273325,1,5.28298
4.361800,82.3746,-0.000709,0.080235,0.209967,49.2738,0.0013109999999999999,0.026432,1,5.37455
0.043840,41.5234,-0.007469,0.46121,0.285692,35.8813,-0.010801999999999999,0.446242,1,5.56947
2.844930,48.0053,0.000711,-0.056405,2.703720,73.8782,0.002372,-0.136599,1,5.28314
0.348172,39.8914,-0.001873,0.116922,3.727040,87.6405,0.002007,-0.161422,1,5.1496900000000005
6.180570,41.1444,-0.003568,0.037591,5.176060,37.9577,-0.000475,0.000405,1,5.3533
3.892230,40.7887,-0.002491,0.127195,4.570440,56.9468,0.0007099999999999999,-0.07285599999999999,1,5.25062
6.367150,60.5439,0.002372,-0.129938,5.667370,39.6033,-0.004868,0.180373,1,4.83065
0.947507,40.7887,0.00095,-0.042526,3.256880,67.6674,0.0007099999999999999,-0.07285599999999999,1,5.33981
3.892230,48.9103,-0.002491,0.127195,5.667370,56.9468,0.002966,-0.156445,1,5.29131
3.665130,84.7646,0.00035499999999999996,-0.026688,3.719100,63.2121,0.003438,-0.213196,1,4.95292
4.201000,50.7512,0.004156,-0.154108,2.955130,41.9875,-0.0067670000000000004,0.25361300000000003,1,5.23768
3.914160,46.1481,-0.008193,0.306436,3.209030,37.9422,0.001423,-0.078648,1,5.376530000000001
2.625440,58.107,-0.000594,0.00937,6.874930,43.8207,0.0014199999999999998,-0.14226,1,5.13135
3.913950,42.8384,0.003675,-0.232251,4.128660,41.5755,-0.000356,0.024549,1,5.25296
6.249200,41.5699,0.002322,-0.14003,6.135490,38.4759,0.011156999999999999,-0.484896,1,5.43375
3.073630,51.8379,-0.002491,0.127195,5.404990,39.2727,0.008075,-0.277617,1,5.1878400000000005
3.892230,40.7887,-0.0013050000000000002,0.060049,5.667370,56.9468,0.00074,-0.07285599999999999,1,5.4913099999999995
6.867030,72.6058,0.00395,-0.30047399999999996,3.796830,45.2208,0.004896,-0.249696,1,4.67387
5.787090,66.8939,-0.001187,0.05182899999999999,5.900320,37.7798,-0.002857,-0.018368000000000002,1,5.05689
4.447780,41.5699,0.003675,-0.23623400000000003,6.191390,38.4992,0.011156999999999999,-0.484896,1,5.34093
4.055500,45.4373,0.00782,-0.297516,4.759620,46.6672,0.005456,-0.294025,1,5.11925
1.865780,41.5699,0.005345,-0.157953,2.819540,61.6883,0.003677,-0.200942,1,5.16456
4.704330,43.8749,0.003675,-0.207222,6.300010,34.1733,0.011722,-0.491271,1,5.30698
2.287540,83.5625,0.000356,-0.026688,6.745490,72.5444,0.00011899999999999999,-0.004268,1,5.059419999999999
4.201000,38.6907,0.005581,-0.197278,2.955130,43.0765,-0.0067670000000000004,0.266897,1,5.1681099999999995
5.958350,56.2507,0.0022170000000000002,-0.137773,4.570440,46.9611,-0.005267,0.180373,1,4.83493
6.367150,44.5895,-0.004873,0.098087,0.693142,39.5897,-0.004145,0.330415,1,5.12441
2.287540,38.6925,0.005581,-0.197278,1.164370,41.6008,-0.008779,0.445101,1,5.502759999999999
3.876550,81.9382,-0.002252,0.150258,6.745490,77.7923,0.00011899999999999999,-0.004259000000000001,1,5.28253
1.418720,43.7975,-0.0034409999999999996,0.17440899999999998,3.994010,51.5556,0.002097,-0.076783,1,5.43449
0.947507,48.9103,0.000923,-0.042526,3.256880,58.4043,0.003088,-0.156445,1,5.12156
5.970840,42.676,0.006052,-0.278886,2.466930,38.708,-0.0043950000000000005,0.134797,1,5.29561
0.348172,39.8914,-0.001778,0.11653499999999999,3.451960,84.7058,0.002251,-0.161422,1,5.3867400000000005
1.362100,42.4981,0.005111,-0.095262,0.358428,37.7102,-0.004508,0.232066,1,5.63302
4.154150,68.2939,0.000357,-0.0026920000000000004,3.451510,40.5721,0.004919,-0.195105,1,5.10861
0.717445,107.053,-0.0008939999999999999,0.121366,4.951150,39.3964,-0.000573,0.057482000000000005,1,5.05286
3.889590,52.6772,0.005220000000000001,-0.26919499999999996,3.666430,38.1356,-0.003088,0.09811,1,5.4935599999999996
1.461600,54.8506,-0.002723,0.242123,6.728000,50.0628,-0.001072,-0.016669999999999997,1,5.73183
6.497210,115.778,0.001013,-0.135365,1.094650,78.4111,-0.002487,0.193609,1,4.78757
2.155020,42.9699,0.005385,-0.14003,3.770850,68.1228,-0.000356,0.024653,1,4.98129
6.751850,43.6489,0.002491,-0.16686800000000002,2.682140,38.4759,0.001303,-0.097209,1,5.4482099999999996
3.892230,47.108,-0.00242,0.141423,5.667370,74.7525,-0.0017420000000000003,0.08491699999999999,1,5.49901
5.907040,40.7887,-0.002614,0.059437000000000004,4.995020,56.9468,0.0007099999999999999,-0.07285599999999999,1,5.46582
3.251870,70.1348,0.00085,-0.047895,6.025360,74.5591,0.002841,-0.258279,1,5.19537
3.296150,40.4948,0.0057009999999999995,-0.175868,2.644560,46.5898,0.00047400000000000003,-0.034298,1,5.54599
4.199040,49.5987,-0.005458,0.26669499999999996,2.893930,56.97,-0.001247,0.08277000000000001,1,5.31187
1.968920,37.7875,-0.003089,0.079295,4.365290,37.9267,-0.002356,0.120297,1,5.417009999999999
5.187840,87.4145,0.00146,-0.13311900000000002,4.190670,43.9986,-0.00143,-0.030420999999999997,1,5.47917
3.235840,49.9854,-0.005693999999999999,0.293796,4.500690,43.318,0.0035770000000000003,-0.22807199999999997,1,5.39046
4.671150,46.5107,-0.005582999999999999,0.16385999999999998,6.074800,75.2862,0.001064,-0.112903,1,5.46534
2.155020,42.9699,0.0057020000000000005,-0.17496,2.682140,65.0761,0.0013460000000000002,-0.110404,1,5.56191
